"hotel_id","city","distance","stars","rating","country","city_actual","rating_reviewcount","center1label","center2label","neighbourhood","ratingta","ratingta_count","distance_alter","accommodation_type"
1,"Amsterdam",3.1,4,4.3,"Netherlands","Amsterdam",1030,"City centre","Montelbaanstoren","Amsterdam",4,1115,3.6,"Hotel"
2,"Amsterdam",0.9,2,4.1,"Netherlands","Amsterdam",372,"City centre","Montelbaanstoren","Amsterdam",4,999,0.8,"Hostel"
3,"Amsterdam",1.5,4,4.1,"Netherlands","Amsterdam",165,"City centre","Montelbaanstoren","Amsterdam",4,674,1.4,"Hotel"
4,"Amsterdam",1.9,3,3.5,"Netherlands","Amsterdam",298,"City centre","Montelbaanstoren","Amsterdam",3.5,1882,2.1,"Hotel"
5,"Amsterdam",1.8,3.5,4,"Netherlands","Amsterdam",4,"City centre","Montelbaanstoren","Amsterdam",4.5,66,2,"Hotel"
6,"Amsterdam",1.9,4,4.1,"Netherlands","Amsterdam",310,"City centre","Montelbaanstoren","Amsterdam",4,767,2,"Hotel"
7,"Amsterdam",0.8,3.5,4.4,"Netherlands","Amsterdam",258,"City centre","Montelbaanstoren","Amsterdam",4.5,273,1.2,"Hotel"
8,"Amsterdam",0.9,4,4.8,"Netherlands","Amsterdam",210,"City centre","Montelbaanstoren","Amsterdam",4.5,298,0.8,"Hotel"
9,"Amsterdam",1,4,4.4,"Netherlands","Amsterdam",967,"City centre","Montelbaanstoren","Amsterdam",4.5,6452,0.5,"Hotel"
10,"Amsterdam",1.8,4,3.7,"Netherlands","Amsterdam",6,"City centre","Montelbaanstoren","Amsterdam",NA,NA,1.8,"Apartment"
11,"Amsterdam",2.2,3,3.7,"Netherlands","Amsterdam",341,"City centre","Montelbaanstoren","Amsterdam",3.5,435,1.9,"Hotel"
12,"Amsterdam",1.2,2,3,"Netherlands","Amsterdam",80,"City centre","Montelbaanstoren","Amsterdam",3,160,0.9,"Hotel"
13,"Amsterdam",1.4,3,3.9,"Netherlands","Amsterdam",9,"City centre","Montelbaanstoren","Amsterdam",NA,NA,1.1,"Apartment"
14,"Amsterdam",1.7,4,3.7,"Netherlands","Amsterdam",100,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",3.5,525,1.9,"Hotel"
15,"Amsterdam",1.7,4,4.5,"Netherlands","Amsterdam",52,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4,296,2,"Hotel"
16,"Amsterdam",1.7,5,4.4,"Netherlands","Amsterdam",394,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4.5,2982,2,"Hotel"
17,"Amsterdam",1.7,4,4.1,"Netherlands","Amsterdam",434,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4,1797,1.8,"Hotel"
18,"Amsterdam",1.8,3,3.7,"Netherlands","Amsterdam",170,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",3.5,453,2,"Hotel"
19,"Amsterdam",1.7,5,4.1,"Netherlands","Amsterdam",374,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4,1498,2,"Hotel"
20,"Amsterdam",2.2,3.5,4.5,"Netherlands","Amsterdam",344,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4.5,889,2.2,"Hotel"
21,"Amsterdam",2.4,3.5,3.9,"Netherlands","Amsterdam",316,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4,1736,2.5,"Hotel"
22,"Amsterdam",2.3,4,4.5,"Netherlands","Amsterdam",880,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",4.5,4862,2.4,"Hotel"
23,"Amsterdam",2.5,4,4.8,"Netherlands","Amsterdam",47,"City centre","Montelbaanstoren","Amsterdam RAI - World Trade Center",5,37,2.9,"Apart-hotel"
24,"Amsterdam",2.9,4,4.5,"Netherlands","Amsterdam",114,"City centre","Montelbaanstoren","Amsterdam South",4.5,658,3,"Hotel"
25,"Amsterdam",1.8,2,2.9,"Netherlands","Amsterdam",194,"City centre","Montelbaanstoren","Amsterdam South",2.5,262,1.6,"Hotel"
26,"Amsterdam",2.7,4,4,"Netherlands","Amsterdam",375,"City centre","Montelbaanstoren","Amsterdam South",4,1494,2.7,"Hotel"
27,"Amsterdam",2.6,4,4.5,"Netherlands","Amsterdam",14,"City centre","Montelbaanstoren","Amsterdam South",4.5,1911,3.1,"Hotel"
28,"Amsterdam",2.7,4,4,"Netherlands","Amsterdam",629,"City centre","Montelbaanstoren","Amsterdam South",4,2844,2.7,"Hotel"
29,"Amsterdam",2.7,4,4.6,"Netherlands","Amsterdam",305,"City centre","Montelbaanstoren","Amsterdam South",4.5,1252,2.8,"Hotel"
30,"Amsterdam",3.3,3,4,"Netherlands","Amsterdam",120,"City centre","Montelbaanstoren","Amsterdam South",4,231,3.6,"Hotel"
31,"Amsterdam",3.2,4,4,"Netherlands","Amsterdam",184,"City centre","Montelbaanstoren","Amsterdam South",4,1297,3.3,"Hotel"
32,"Amsterdam",1.9,3,3.5,"Netherlands","Amsterdam",49,"City centre","Montelbaanstoren","Amsterdam South",3.5,267,1.8,"Hotel"
