"country","city_actual","rating_count","center1label","center2label","neighbourhood","price","city","stars","ratingta","ratingta_count","scarce_room","hotel_id","offer","offer_cat","year","month","weekend","holiday","distance","distance_alter","accommodation_type","nnights","rating"
"Austria","Vienna",36,"City centre","Donauturm","17. Hernals",81,"Vienna",4,4.5,216,1,21894,1,"15-50% offer",2017,11,0,0,2.7,4.4,"Apartment",1,4.4
"Austria","Vienna",189,"City centre","Donauturm","17. Hernals",81,"Vienna",4,3.5,708,0,21897,1,"1-15% offer",2017,11,0,0,1.7,3.8,"Hotel",1,3.9
"Austria","Vienna",53,"City centre","Donauturm","Alsergrund",85,"Vienna",4,3.5,629,0,21901,1,"15-50% offer",2017,11,0,0,1.4,2.5,"Hotel",1,3.7
"Austria","Vienna",55,"City centre","Donauturm","Alsergrund",83,"Vienna",3,4,52,0,21902,1,"15-50% offer",2017,11,0,0,1.7,2.5,"Hotel",1,4
"Austria","Vienna",33,"City centre","Donauturm","Alsergrund",82,"Vienna",4,3.5,219,1,21903,1,"15-50% offer",2017,11,0,0,1.2,2.8,"Hotel",1,3.9
"Austria","Vienna",25,"City centre","Donauturm","Alsergrund",229,"Vienna",5,4.5,27,1,21904,1,"1-15% offer",2017,11,0,0,0.9,3,"Apartment",1,4.8
"Austria","Vienna",57,"City centre","Donauturm","Alsergrund",103,"Vienna",4,3.5,251,1,21906,0,"0% no offer",2017,11,0,0,0.9,2.4,"Hotel",1,3.9
"Austria","Vienna",161,"City centre","Donauturm","Alsergrund",150,"Vienna",4,4.5,617,0,21907,0,"0% no offer",2017,11,0,0,1,2.7,"Hotel",1,4.6
"Austria","Vienna",50,"City centre","Donauturm","Alsergrund",80,"Vienna",2,3.5,146,1,21908,1,"1-15% offer",2017,11,0,0,0.7,2.7,"Hotel",1,3.5
"Austria","Vienna",NA,"City centre","Donauturm","Alsergrund",153,"Vienna",3,NA,NA,1,21910,1,"15-50% offer",2017,11,0,0,1.5,2.7,"Apartment",1,NA
"Austria","Vienna",203,"City centre","Donauturm","Alsergrund",60,"Vienna",4,4,359,1,21912,1,"1-15% offer",2017,11,0,0,1.1,2.7,"Hotel",1,4.1
