X,Y,OBJECTID,LOCNUM,CONAME,STREET,CITY,STATE,STATE_NAME,ZIP,ZIP4,NAICS,SIC,SALESVOL,HDBRCH,ULTNUM,PUBPRV,EMPNUM,FRNCOD,ISCODE,SQFTCODE,LOC_NAME,STATUS,SCORE,SOURCE,REC_TYPE
-121.92,36.5479,3302270,414460173,BIO-CHEK LLC,JUNIPERO AVE,CARMEL,CA,California,93923,,44511002,541104,4658.00000000000,,000000000,,17.00000000000,,,4,StreetName,M,100.00000000000,INFOGROUP,0
-121.9227,36.553,11234928,729045978,OLIVIER NAPA VALLEY,NW SAN CARLOS ON OCEAN,CARMEL,CA,California,93921,,44511002,541104,1644.00000000000,,000000000,,6.00000000000,,,3,Postal,M,100.00000000000,INFOGROUP,0
-121.8099,36.5236,12186144,830486544,SAFEWAY,MID VALLEY CTR,CARMEL,CA,California,93923,8500,44511003,541105,14247.00000000000,2,579284589,,52.00000000000,V,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.9105,36.5367,76567,101734812,SAFEWAY,THE CROSSROADS BLVD,CARMEL,CA,California,93923,8638,44511003,541105,21918.00000000000,2,579284589,,80.00000000000,V,,7,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.905,36.5426,1352100,259197937,SAVE MART,CARMEL RANCHO BLVD,CARMEL,CA,California,93923,8708,44511003,541105,20548.00000000000,2,304014038,,75.00000000000,2,,8,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.9095,36.5433,2854700,405901859,NIELSEN BROTHERS MARKET INC,7TH AVENUE & SAN CARLOS,CARMEL,CA,California,93923,,44511001,541101,822.00000000000,,000000000,,3.00000000000,,,2,Postal,M,100.00000000000,INFOGROUP,0
-121.905,36.5432,4688046,431017791,CARMEL RANCHO GENERAL STORE,CARMEL RANCHO BLVD,CARMEL,CA,California,93923,8741,44511003,541105,822.00000000000,,000000000,,3.00000000000,,,4,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.905,36.5426,9924690,719479462,LUCKY SUPERMARKETS,CARMEL RANCHO BLVD,CARMEL,CA,California,93923,8708,44511003,541105,21918.00000000000,2,304014038,,80.00000000000,,,1,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.9003,36.5845,7473795,656408465,WHOLE FOODS MARKET,DEL MONTE CTR,MONTEREY,CA,California,93940,6100,44511003,541105,46575.00000000000,2,886012012,2,170.00000000000,q,,6,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.8947,36.5966,7810043,686581976,TRADER JOE'S,MUNRAS AVE,MONTEREY,CA,California,93940,3014,44511003,541105,19178.00000000000,2,305504573,,70.00000000000,+,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-121.8797,36.597,76977,101773653,VALNIZZA MARKET & LIQUOR,OCEAN AVE,MONTEREY,CA,California,93940,3518,44511003,541105,548.00000000000,,000000000,,2.00000000000,,,1,PointAddress,M,100.00000000000,INFOGROUP,0
-121.866,36.6002,12185224,830300174,BIRITE MARKET LLC,CASA VERDE WAY,MONTEREY,CA,California,93940,3734,44511003,541105,1096.00000000000,,000000000,,4.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-121.8505,36.5978,7687854,675516165,SAFEWAY,CANYON DEL REY BLVD,DEL REY OAKS,CA,California,93940,5525,44511003,541105,26028.00000000000,2,579284589,,95.00000000000,V,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-121.9185,36.6202,77035,101778827,GROVE MARKET INC,FOREST AVE,PACIFIC GROVE,CA,California,93950,3319,44511003,541105,5480.00000000000,,000000000,,20.00000000000,,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-121.9255,36.6076,9924692,719479464,LUCKY SUPERMARKETS,COUNTRY CLUB GATE CTR,PACIFIC GROVE,CA,California,93950,5023,44511003,541105,21918.00000000000,2,304014038,,80.00000000000,,,8,PointAddress,M,100.00000000000,INFOGROUP,0
-121.9219,36.6056,11420514,734363612,TRADER JOE'S,FOREST AVE,PACIFIC GROVE,CA,California,93950,5123,44511003,541105,15069.00000000000,2,305504573,,55.00000000000,+,,5,PointAddress,M,100.00000000000,INFOGROUP,0
-121.921,36.6046,12185354,830323424,SAFEWAY,FOREST AVE,PACIFIC GROVE,CA,California,93950,5123,44511003,541105,16439.00000000000,2,579284589,,60.00000000000,V,,7,PointAddress,M,100.00000000000,INFOGROUP,0
-121.9045,36.6169,76921,101767895,NOB HILL FOODS,LIGHTHOUSE AVE,MONTEREY,CA,California,93940,1013,44511003,541105,13151.00000000000,2,453561680,,48.00000000000,},,6,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.8959,36.6011,3913694,421910469,TROIA'S MARKET,PACIFIC ST,MONTEREY,CA,California,93940,2445,44511001,541101,822.00000000000,,000000000,,3.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
-121.9014,36.6133,5817818,456341205,INTERNATIONAL MARKET & DELI,LIGHTHOUSE AVE,MONTEREY,CA,California,93940,1423,44511003,541105,274.00000000000,,000000000,,1.00000000000,,,2,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.8965,36.6092,9762101,718715406,SANTOS FINE FOODS,CANNERY ROW,MONTEREY,CA,California,93940,1447,44511002,541104,4658.00000000000,,000000000,,17.00000000000,,,6,StreetAddress,M,100.00000000000,INFOGROUP,0
-121.8376,36.6037,77136,101787505,MAL'S MARKET,NOCHE BUENA ST,SEASIDE,CA,California,93955,5425,44511003,541105,548.00000000000,,000000000,,2.00000000000,,,2,PointAddress,M,100.00000000000,INFOGROUP,0
